source_key,authors,year,title,journal_or_owner,source_type,doi,stable_url,full_text_status,primary_or_review,evidence_grade,topics,notes
"BAT11","Liu and Deng","2026","Energy-efficient drying of LiFePO4 electrodes via residence time optimization: A temperature and thickness-dependent study","Journal of Cleaner Production","journal article","10.1016/j.jclepro.2026.148460","https://doi.org/10.1016/j.jclepro.2026.148460","abstract only","primary experiment","A","LFP; residence time; thickness; cracking","Not used for equations or quantitative thresholds until full text is obtained."
"BAT12","Susarla et al.","2018","Modeling and analysis of solvent removal during Li-ion battery electrode drying","Journal of Power Sources","journal article","10.1016/j.jpowsour.2018.01.007","https://doi.org/10.1016/j.jpowsour.2018.01.007","full text inspected","theory","B/T","heat and mass transfer; solvent removal; multi-zone drying","No state-dependent mechanics or fracture."
"BAT13","Román-Ramírez et al.","2021","Understanding the effect of coating-drying operating variables on electrode physical and electrochemical properties of lithium-ion batteries","Journal of Power Sources","journal article","10.1016/j.jpowsour.2021.230689","https://doi.org/10.1016/j.jpowsour.2021.230689","full text inspected","pilot-scale DOE","B","pilot drying; speed; temperature; air velocity; electrode properties","NMC622 pilot coating; factorial correlations do not alone prove mechanism."
"BAT14","Román-Ramírez et al.","2022","Experimental data of cathodes manufactured in a convective dryer at the pilot-plant scale and charge and discharge capacities of half-coin lithium-ion cells","Data in Brief","data article","10.1016/j.dib.2021.107720","https://doi.org/10.1016/j.dib.2021.107720","open data and article inspected","primary dataset","B","pilot-scale data; cathode drying; physical properties","Companion dataset to BAT13; not LFP and no in-situ internal-crack history."
"BAT15","Kumberg et al.","2020 online / 2021 print","Investigation of Drying Curves of Lithium-Ion Battery Electrodes with a New Gravimetrical Double-Side Batch Dryer Concept Including Setup Characterization and Model Simulations","Energy Technology","journal article","10.1002/ente.202000889","https://doi.org/10.1002/ente.202000889","full text inspected","primary experiment + model","C","drying curve; heat-transfer map; IR; gravimetry","Batch apparatus; supports local boundary calibration rather than LFP fracture parameters."
"BAT16","von Horstig et al.","2026","Scaling up Battery-Electrode Drying from Lab to Pilot Scale: Match the Drivers Not the Set Points","Batteries & Supercaps","journal article","10.1002/batt.202500845","https://doi.org/10.1002/batt.202500845","full text inspected","cross-scale experiment + model","C","scale-up; film temperature; heat transfer; exhaust condition","Water-based anode and 120–150 mm coating; method transfers but coefficients do not."
"BAT17","Ahmed et al.","2016","Energy impact of cathode drying and solvent recovery during lithium-ion battery manufacturing","Journal of Power Sources","journal article","10.1016/j.jpowsour.2016.04.102","https://doi.org/10.1016/j.jpowsour.2016.04.102","full text inspected","industrial process model","I/B","NMP drying; solvent recovery; energy; gas load","Factory-scale mass and energy context; not a crack-mechanism experiment."
"BAT18","Nienke et al.","2023 online / 2024 print","Combination of different nozzle concepts for simultaneous optimization of heat transfer and its uniform distribution in convection drying applications","Drying Technology","journal article","10.1080/07373937.2023.2260867","https://doi.org/10.1080/07373937.2023.2260867","abstract and metadata inspected","equipment experiment","I/D2","nozzle; heat-transfer coefficient; cross-web uniformity","General convection dryer; no battery slurry."
"COL01","Cardinal et al.","2010","Drying regime maps for particulate coatings","AIChE Journal","journal article","10.1002/aic.12190","https://doi.org/10.1002/aic.12190","full text and local PDF inspected","primary experiment + theory","D2","Péclet number; sedimentation; cryo-SEM; regime map; surface accumulation","Monodisperse silica/water system; multi-component LFP requires separate species scales. Its skin is a concentration-defined surface accumulation layer; evaporation permeability and rheology feedback were not modeled so it is not project Skin+ evidence."
"COL02","Russel","2011","Mechanics of drying colloidal dispersions: Fluid/solid transitions skinning crystallization cracking and peeling","AIChE Journal","journal article","10.1002/aic.12651","https://doi.org/10.1002/aic.12651","full text inspected","review","D2","colloidal drying; skinning; cracking; peeling","Review used for model genealogy; primary claims traced separately where possible."
"COL03","Routh","2013","Drying of thin colloidal films","Reports on Progress in Physics","journal article","10.1088/0034-4885/76/4/046603","https://doi.org/10.1088/0034-4885/76/4/046603","full text inspected","review","D2","drying fronts; consolidation; lateral flow; cracking","Review; not used as sole support for LFP-specific claims."
"COL04","Man and Russel","2008","Direct Measurements of Critical Stresses and Cracking in Thin Films of Colloid Dispersions","Physical Review Letters","journal article","10.1103/PhysRevLett.100.198302","https://doi.org/10.1103/PhysRevLett.100.198302","full text inspected","primary experiment","D2","critical stress; flaws; elastic recovery; pressure","Uniformly compressed colloid film; different drying boundary from oven coating."
"COL05","Tirumkudulu and Russel","2005","Cracking in Drying Latex Films","Langmuir","journal article","10.1021/la048298k","https://doi.org/10.1021/la048298k","full text and local PDF inspected","theory + experiment","D2","Griffith fracture; critical thickness; crack spacing","Single latex system. General G proportional to stress squared times thickness over modulus transfers; H^-2/3 critical-stress exponent and coefficients arise from its specific nonlinear wet-particle constitutive law. Measured critical stress was about three times the model value."
"COL06","Singh and Tirumkudulu","2007","Cracking in Drying Colloidal Films","Physical Review Letters","journal article","10.1103/PhysRevLett.98.218302","https://doi.org/10.1103/PhysRevLett.98.218302","full text inspected","theory + experiment","D2","maximum crack-free thickness; particle stiffness; packing","Hard-particle colloids; PVDF/CB dissipation absent."
"COL07","Goehring et al.","2013","Plasticity and Fracture in Drying Colloidal Films","Physical Review Letters","journal article","10.1103/PhysRevLett.110.024301","https://doi.org/10.1103/PhysRevLett.110.024301","full text inspected","primary experiment + theory","D2","plasticity; crack-opening field; fracture energy","Supports nonelastic dissipation; not an LFP constitutive law."
"COL08","Birk-Braun et al.","2017","Generation of strength in a drying film: How fracture toughness depends on dispersion properties","Physical Review E","journal article","10.1103/PhysRevE.95.022610","https://doi.org/10.1103/PhysRevE.95.022610","full text inspected","primary experiment + model inversion","D2","particle size; evaporation rate; fracture toughness","Reported exponents are system-specific and not transferred numerically."
"COL09","Yow et al.","2010","Effect of film thickness and particle size on cracking stresses in drying latex films","Journal of Colloid and Interface Science","journal article","10.1016/j.jcis.2010.08.074","https://doi.org/10.1016/j.jcis.2010.08.074","abstract and metadata inspected","primary experiment","D2","cracking stress; thickness; particle size","Used as counterpoint on particle-size effects."
"COL10","Goehring et al.","2011","Wavy cracks in drying colloidal films","Soft Matter","journal article","10.1039/C1SM05979C","https://doi.org/10.1039/C1SM05979C","full text inspected","primary experiment + path model","D2","crack path; directional drying; oscillation","Final pattern is not a unique inverse signature of nucleation mechanism."
"CER01","Lewis et al.","1996","Rheological Property and Stress Development during Drying of Tape-Cast Ceramic Layers","Journal of the American Ceramic Society","journal article","10.1111/j.1151-2916.1996.tb08099.x","https://doi.org/10.1111/j.1151-2916.1996.tb08099.x","full text inspected","primary experiment","D1","drying stress; cantilever; PVB; plasticization","Non-aqueous alumina/PVB tape cast; strong method analogy to electrode coating."
"CER02","Martinez and Lewis","2002","Rheological Structural and Stress Evolution of Aqueous Al2O3:Latex Tape-Cast Layers","Journal of the American Ceramic Society","journal article","10.1111/j.1151-2916.2002.tb00473.x","https://doi.org/10.1111/j.1151-2916.2002.tb00473.x","full text inspected","primary experiment","D1","particle stress; latex; residual stress; particle size","Aqueous latex differs from dissolved PVDF; phase-role division is a hypothesis for LFP."
"CER03","Kiennemann et al.","2005","Drying mechanisms and stress development in aqueous alumina tape casting","Journal of the European Ceramic Society","journal article","10.1016/j.jeurceramsoc.2004.05.028","https://doi.org/10.1016/j.jeurceramsoc.2004.05.028","abstract and metadata inspected","primary experiment","D1","drying stages; stress; alumina tape casting","Stage concepts transfer; latex-film formation does not map directly to PVDF."
"CER04","Chiu and Cima","1993","Drying of Granular Ceramic Films: II Drying Stress and Saturation Uniformity","Journal of the American Ceramic Society","journal article","10.1111/j.1151-2916.1993.tb04014.x","https://doi.org/10.1111/j.1151-2916.1993.tb04014.x","abstract and metadata inspected","primary experiment","D1","drying stress; saturation; granular film","Classic granular-film evidence; numerical parameters are not transferred."
"CER05","Chiu et al.","1993","Drying of Granular Ceramic Films: I Effect of Processing Variables on Cracking Behavior","Journal of the American Ceramic Society","journal article","10.1111/j.1151-2916.1993.tb07762.x","https://doi.org/10.1111/j.1151-2916.1993.tb07762.x","abstract and metadata inspected","primary experiment","D1","cracking; processing variables; critical thickness","Methodological ancestor of CCT tests."
"CER06","Moorhead and Francis","2024","Characterizing stress development and cracking of ceramic particulate coatings during drying","Journal of the American Ceramic Society","journal article","10.1111/jace.19644","https://doi.org/10.1111/jace.19644","full text and duplicate local PDFs inspected","primary experiment","D1","simultaneous stress; saturation; cracking; CCT","Two local files are byte-identical. ZnO particulate coating not battery electrode. Cantilever stress inversion assumes a continuous film; after crack onset curvature drop is an event/comparison signal rather than an intact-film absolute stress."
"POL01","Park and Kim","2000","Determination of Diffusion and Mass Transfer Coefficients during Drying of Solvent-Absorbed Polymer Films","Polymer Journal","journal article","10.1295/polymj.32.415","https://doi.org/10.1295/polymj.32.415","full text inspected","primary experiment + inversion","D2","concentration-dependent diffusion; moving boundary; mass transfer","Pure polymer film; LFP tortuosity and adsorption absent."
"POL02","Punati and Tirumkudulu","2022","Modeling the drying of polymer coatings","Soft Matter","journal article","10.1039/D1SM01343B","https://doi.org/10.1039/D1SM01343B","full text inspected","theory","D2/T","skin formation; Darcy flow; poroelastic stress","Provides an explicit skin model; its existence in LFP remains to be observed."
"POL03","Arai and Doi","2012","Skin formation and bubble growth during drying process of polymer solution","The European Physical Journal E","journal article","10.1140/epje/i2012-12057-2","https://doi.org/10.1140/epje/i2012-12057-2","full text and local PDF inspected","primary experiment + interpretation","D2","skin; bubble; dissolved air; solvent vapor; pressure","Skin pressure and bubble trajectories were measured; mixed solvent-vapor/dissolved-air composition and diffusion control were inferred from thermodynamics pressure and R proportional to sqrt(t-tau), not directly analyzed. Direct analogue only; no particulate pore network."
"POL04","Pourdarvish et al.","2008 online / 2009 print","Mechanism of bubble formation in the drying of polymer films","Journal of Applied Polymer Science","journal article","10.1002/app.28998","https://doi.org/10.1002/app.28998","full text inspected","model + experimental relation","D2","multicomponent diffusion; dissolved gas; degassing","PVAc/toluene/nitrogen system; supports diagnostic role of degassing."
"POL05","Price and Cairncross","1999","Optimization of Single-Zone Drying of Polymer Solution Coatings to Avoid Blister Defects","Drying Technology","journal article","10.1080/07373939908917616","https://doi.org/10.1080/07373939908917616","abstract and metadata inspected","theory + optimization","D2/T","boiling; blister; dryer optimization; residual solvent","Pure polymer coating; used for inequality structure not LFP threshold."
"POL06","Dabral et al.","2002","Drying process paths of ternary polymer solution coating","AIChE Journal","journal article","10.1002/aic.690480105","https://doi.org/10.1002/aic.690480105","abstract and metadata inspected","theory + experiment","D2","phase separation; ternary coating; drying path","Low-priority transfer unless water/non-solvent contamination is demonstrated."
"POL07","Yiantsios et al.","2015","Surface deformation and film corrugation during drying of polymer solutions induced by Marangoni phenomena","International Journal of Heat and Mass Transfer","journal article","10.1016/j.ijheatmasstransfer.2015.06.015","https://doi.org/10.1016/j.ijheatmasstransfer.2015.06.015","full text inspected","theory + experimental context","D2","Marangoni; corrugation; surface deformation","Requires a mobile surface stage; not evidence for post-locking wrinkles."
"POL08","Chen et al.","2014","Stimuli-responsive buckling mechanics of polymer films","Journal of Polymer Science Part B: Polymer Physics","journal article","10.1002/polb.23590","https://doi.org/10.1002/polb.23590","full text inspected","review","D2/T","buckling; wrinkling; thin films","Generic mechanics review; compression and skin/substrate contrast must be shown in LFP."
"GEL01","Scherer","1988","Aging and drying of gels","Journal of Non-Crystalline Solids","journal article","10.1016/0022-3093(88)90008-7","https://doi.org/10.1016/0022-3093(88)90008-7","full text or archival copy inspected","review + theory","D3","gel aging; shrinkage; modulus; permeability","Mature gel network differs from a forming particulate skeleton."
"GEL02","Scherer","1989","Drying gels VIII: Revision and review","Journal of Non-Crystalline Solids","journal article","10.1016/0022-3093(89)90029-X","https://doi.org/10.1016/0022-3093(89)90029-X","full text or archival copy inspected","review + theory","D3","gel drying; pressure gradient; shrinkage","Continuum structure transfers; constitutive parameters do not."
"GEL03","Scherer","1990","Stress and fracture during drying of gels","Journal of Non-Crystalline Solids","journal article","10.1016/0022-3093(90)90113-Z","https://doi.org/10.1016/0022-3093(90)90113-Z","full text or archival copy inspected","theory","D3/T","drying stress; fracture; irregular front","Highlights need for defects/front irregularity beyond smooth fields."
"GEL04","Scherer and Smith","1995","Cavitation during drying of a gel","Journal of Non-Crystalline Solids","journal article","10.1016/0022-3093(95)00222-7","https://doi.org/10.1016/0022-3093(95)00222-7","full text or archival copy inspected","theory","D3/T","cavitation; pore cavity; entry pressure; growth","Idealized gel pores; heterogeneous LFP thresholds require measurement."
"GEL05","Bertrand et al.","2016","Dynamics of Swelling and Drying in a Spherical Gel","Physical Review Applied","journal article","10.1103/PhysRevApplied.6.064010","https://doi.org/10.1103/PhysRevApplied.6.064010","full text inspected","primary experiment + theory","D3","poroelasticity; transient pressure; finite deformation","Spherical free gel rather than constrained coating."
"GEL06","Wang and Cai","2015","Drying-induced cavitation in a constrained hydrogel","Soft Matter","journal article","10.1039/C4SM02652G","https://doi.org/10.1039/C4SM02652G","full text inspected","primary experiment","D3","cavitation; fracture; constrained drying","Directly supports cavity-fracture coupling but not occurrence in LFP."
"GEL07","Noselli et al.","2016","Poroelastic toughening in polymer gels: A theoretical and numerical study","Journal of the Mechanics and Physics of Solids","journal article","10.1016/j.jmps.2016.04.017","https://doi.org/10.1016/j.jmps.2016.04.017","full text inspected","theory + numerics","D3/T","crack-tip flow; poroelastic toughening; dissipation","Local crack-tip result; does not imply whole-layer pore-pressure gradients are beneficial."
"GEL08","Biot","1941","General Theory of Three-Dimensional Consolidation","Journal of Applied Physics","journal article","10.1063/1.1712886","https://doi.org/10.1063/1.1712886","full text inspected","foundational theory","T","poroelasticity; consolidation; pressure diffusion","Small-deformation mature porous skeleton; only a starting structure for drying slurry."
"GEO01","Tang et al.","2021","Desiccation cracking of soils: A review of investigation approaches underlying mechanisms and influencing factors","Earth-Science Reviews","journal article","10.1016/j.earscirev.2021.103586","https://doi.org/10.1016/j.earscirev.2021.103586","full text inspected","review","D4","soil desiccation; mechanisms; factors; model taxonomy","Used for field map and citation network; soil constants are not transferred."
"GEO02","Péron et al.","2009","Fundamentals of desiccation cracking of fine-grained soils: experimental characterisation and mechanisms identification","Canadian Geotechnical Journal","journal article","10.1139/T09-054","https://doi.org/10.1139/T09-054","full text inspected","primary experiment","D4","desaturation; shrinkage constraint; suction; cracking","Observed crack timing is soil- and boundary-specific."
"GEO03","Zeng et al.","2019","Coupling effects of interfacial friction and layer thickness on soil desiccation cracking behavior","Engineering Geology","journal article","10.1016/j.enggeo.2019.105220","https://doi.org/10.1016/j.enggeo.2019.105220","full text inspected","primary experiment","D4","basal friction; layer thickness; crack pattern","Transfers as evidence that thickness and interface constraint interact."
"GEO04","Zeng et al.","2020","Drought-Induced Soil Desiccation Cracking Behavior With Consideration of Basal Friction and Layer Thickness","Water Resources Research","journal article","10.1029/2019WR026948","https://doi.org/10.1029/2019WR026948","full text inspected","primary experiment","D4","buried cracks; basal friction; thickness","No polymer migration or forced NMP convection."
"GEO05","Tang et al.","2011","Experimental Investigation of the Desiccation Cracking Behavior of Soil Layers during Drying","Journal of Materials in Civil Engineering","journal article","10.1061/(ASCE)MT.1943-5533.0000242","https://doi.org/10.1061/%28ASCE%29MT.1943-5533.0000242","full text inspected","primary experiment","D4","sample size; flaws; crack network; layer drying","Supports role of geometry and defects; not an electrode threshold source."
"GEO06","Vo et al.","2017","Numerical modelling of desiccation cracking of clayey soil using a cohesive fracture method","Computers and Geotechnics","journal article","10.1016/j.compgeo.2016.12.010","https://doi.org/10.1016/j.compgeo.2016.12.010","full text inspected","theory + numerics","D4/T","unsaturated transport; cohesive fracture; moisture-dependent properties","Model structure transferable only after LFP constitutive re-identification."
"GEO07","Hün et al.","2021","Desiccation cracking of heterogeneous clayey soil: Experiments modeling and simulations","Engineering Fracture Mechanics","journal article","10.1016/j.engfracmech.2021.108065","https://doi.org/10.1016/j.engfracmech.2021.108065","full text inspected","primary experiment + phase-field model","D4","heterogeneity; DIC; phase field; crack path","Shows qualitative path capture and local-strain mismatch."
"GEO08","van Genuchten","1980","A Closed-form Equation for Predicting the Hydraulic Conductivity of Unsaturated Soils","Soil Science Society of America Journal","journal article","10.2136/sssaj1980.03615995004400050002x","https://doi.org/10.2136/sssaj1980.03615995004400050002x","full text inspected","theory + data fitting","D4/T","retention curve; relative permeability; unsaturated flow","Only closure-function precedent; soil parameters cannot be used for LFP/NMP."
"GEO09","Kodikara and Costa","2013","Desiccation Cracking in Clayey Soils: Mechanisms and Modelling","Multiphysical Testing of Soils and Shales","book chapter pp. 21–32","10.1007/978-3-642-32492-5_2","https://doi.org/10.1007/978-3-642-32492-5_2","chapter metadata and institutional abstract inspected","review + model synthesis","D4","soil fracture; moisture-dependent strength; cohesive crack","Chapter-specific DOI and pages recorded; not sole evidence for equations."
"BAT19","Higa et al.","2024","Visualization of Porous Composite Battery Electrode Fabrication Dynamics for Different Formulations and Conditions Using Hard X-ray Microradiography","ACS Applied Energy Materials","journal article","10.1021/acsaem.4c00402","https://doi.org/10.1021/acsaem.4c00402","full text inspected","primary in-situ experiment","B/D2","in-situ radiography; drying dynamics; consolidation; lateral flow","Includes NMC622/AB/PVDF/NMP profile imaging under IR heating; lab doctor-blade geometry beam integration and platform tilt limit transfer."
"BAT20","Baburoglu et al.","2025","Measuring Dynamic Gradients in Drying Battery Electrode Coatings via Microscale Resistivity","Langmuir","journal article","10.1021/acs.langmuir.5c04644","https://doi.org/10.1021/acs.langmuir.5c04644","full article and metadata inspected","primary in-situ experiment + heuristic model","C/D2","depth-sensitive resistivity; shear history; carbon gradient; sedimentation","Dynamic gradients are inferred through depth-sensitive resistance and a layered model; exact target chemistry was not confirmed in accessible text."
"BAT21","Zhu et al.","2021","Evolution of Internal Stress in Heterogeneous Electrode Composite during the Drying Process","Energies","journal article","10.3390/en14061683","https://doi.org/10.3390/en14061683","full text inspected","model + ex-situ dry mechanics","D2/T","drying stress; heterogeneous modulus; PVDF; NMP; NMC532","Wet drying stress is predicted rather than directly measured; LFP transfer requires wet-state mechanics and fracture calibration."
"BAT22","von Horstig et al.","2025","Development of an Induction Supported Roll to Roll Process for the Accelerated Drying of Water-Based Anodes and N-Methyl-2-Pyrrolidone-Based Cathodes for Lithium-Ion Batteries","Energy Technology","journal article","10.1002/ente.202402182","https://doi.org/10.1002/ente.202402182","full text inspected","primary pilot R2R experiment","B/I","R2R; induction-assisted drying; film temperature; NMP cathode; drying-rate period","NMC622/PVDF/NMP pilot evidence; temperature marks a drying-period transition but not unique internal connectivity; uncoated edges can overheat."
"BAT23","Kukay et al.","2024","Mechanical and Electrochemical Implications of Drying Temperature on Lithium-Ion Battery Electrodes","Batteries & Supercaps","journal article","10.1002/batt.202400113","https://doi.org/10.1002/batt.202400113","full text inspected","primary experiment + heat/mass-transfer analysis","B","gravimetry; film temperature; thick cathode; NMP; drying temperature","NMC811/PVDF/NMP with 400 and 750 micrometre wet gaps; no time-resolved pore state stress or crack onset."
"BAT24","Xiong et al.","2026","Operando ultrasonic feedback enables adaptive drying control for high-quality battery manufacturing","Materials Today Energy","journal article","10.1016/j.mtener.2026.102271","https://doi.org/10.1016/j.mtener.2026.102271","abstract and detailed article snippets inspected","primary operando experiment + feedback control","C","ultrasound; operando drying; endpoint control; cracking; delamination","Exact target formulation and geometry were unavailable in inspected text; acoustic features conflate thickness density modulus saturation and porosity."
"BAT25","Dawson Will J.","2025","Analysis of the Formation and Impacts of Mud Cracking in Li-ion Battery Electrodes","University College London","doctoral thesis","","https://discovery.ucl.ac.uk/id/eprint/10213921/","full submitted thesis and local PDF inspected","primary thesis experiment + synthesis + modelling","B/thesis","mud cracking; in-situ CT; crack performance; transport modelling; model falsification","Contains Chapter 4 published work Chapter 5 pre-publication drying dataset and Chapter 6 modelling. Use BAT05 journal version where interpretations overlap. Page references should include both PDF and printed page."
"BAT26","Morrison et al.","2026","Understanding energy–power trade-off in the structure of Li-ion battery cathodes by localized operando XRD","EES Batteries","journal article","10.1039/D6EB00017G","https://doi.org/10.1039/D6EB00017G","full text and local PDF inspected","primary operando experiment","B","MCC-XRD; local state of lithiation; cracked electrode; directional transport","Dawson coauthor; post-drying functional study rather than crack-formation evidence. Selected NMC622 cracked electrodes and spatially averaged gauge volumes; not LFP or commercial R2R."
"BAT27","Dawson et al.","2024","The Effect of Mud Cracking on the Performance of Thick Li-Ion Electrodes","Batteries & Supercaps","journal article","10.1002/batt.202400260","https://doi.org/10.1002/batt.202400260","published article represented by full thesis chapter","primary experiment","B/confounded","3D crack geometry; rate capability; characteristic diffusion time","Cracked and reference formulations differ in carbon binder active fraction and solids content; performance comparison does not isolate cracking causally. Electrodes were uncalendered."
"BAT28","Nikpour et al.","2022","Li-ion Electrode Microstructure Evolution during Drying and Calendering","Batteries","journal article","10.3390/batteries8090107","https://doi.org/10.3390/batteries8090107","full text and local PDF inspected","primary experiment","B","PVDF distribution; in-plane heterogeneity; drying temperature; calendering; transport","NMC532/PVDF/NMP and graphite/PVDF/NMP with 80 um blade gap. EDS is sensitive to porosity absorption and fluorescence; no systematic crack-onset or critical-thickness measurements."
"BAT29","Jaiser et al.","2017","Development of a three-stage drying profile based on characteristic drying stages for lithium-ion battery anodes","Drying Technology","journal article","10.1080/07373937.2016.1248975","https://doi.org/10.1080/07373937.2016.1248975","official full text inspected in Schabel synthesis","primary experiment","C","three-stage drying; process history; adhesion; binder migration","Graphite/PVDF-NMP anode. High-low-high preserved mechanical integrity while shortening drying relative to low-rate drying; no systematic crack-onset endpoint and switch times do not transfer to LFP."
"BAT30","Kumberg et al.","2021","Influence of Layer Thickness on the Drying of Lithium-Ion Battery Electrodes—Simulation and Experimental Validation","Energy Technology","journal article","10.1002/ente.202100013","https://doi.org/10.1002/ente.202100013","official full text inspected in Schabel synthesis","primary experiment + model","C","layer thickness; internal drying resistance; effective moving front; pore emptying","Water-based graphite anode with several thicknesses. Thick-film drying increasingly deviated from a gas-side linear model; the effective front model is not a directly observed planar front and the paper did not measure cracking."
"BAT31","Kumberg et al.","2021","Reduced Drying Time of Anodes for Lithium-Ion Batteries through Simultaneous Multilayer Coating","Energy Technology","journal article","10.1002/ente.202100367","https://doi.org/10.1002/ente.202100367","official full text inspected in Schabel synthesis","primary experiment","C","simultaneous multilayer; adhesion layer; fast drying; electrochemistry","Water-based graphite multilayers at modest areal capacity. Architecture formulation and mixing changed together; useful as a later mitigation option but not direct crack evidence."
"BAT32","Altvater et al.","2022 online / 2023 print","(Near-) Infrared Drying of Lithium-Ion Battery Electrodes: Influence of Energy Input on Process Speed and Electrode Adhesion","Energy Technology","journal article","10.1002/ente.202200785","https://doi.org/10.1002/ente.202200785","official full text inspected in Schabel synthesis","primary experiment","C","NIR drying; film temperature; heat transfer; evaporation flux; adhesion","Water-based graphite anode. At comparable flux lower convective heat transfer and hotter film correlated with higher adhesion; radiation heat transfer and film temperature co-varied and cracking was not measured."
"BAT33","Altvater et al.","2024","Application of Multistage Drying Profiles for Accelerated Production of Li-Ion Battery Anodes Using Infrared Radiation: Investigation of Electrode Properties and Cell Performance","Energy Technology","journal article","10.1002/ente.202301272","https://doi.org/10.1002/ente.202301272","official full text inspected in Schabel synthesis","primary experiment + operational model","C","multistage drying; infrared; adhesion; inferred critical solvent range; full cell","Water-based graphite anode. Sensitive solvent fractions were operationally inferred from final adhesion under a constant-rate assumption; limited cell sample count and no systematic crack endpoint."
